metric,method,value,unit,data,variables,location,forest,details,year,title
rmse,mlr,35.76,m3/hm2,landsat,"vi,bands","Nanning City, Guangxi Zhuang, China",Eucalyptus plantation forest,Eucalyptus plantation - m^3/hm^2,2024,Satellite Image Fusion Airborne LiDAR Point-Clouds-Driven Machine Learning Modeling to Predict the Carbon Stock of Typical Subtropical Plantation in China
mae,mlr,29.01,m3/hm2,landsat,"vi,bands","Nanning City, Guangxi Zhuang, China",Eucalyptus plantation forest,Eucalyptus plantation - m^3/hm^2,2024,Satellite Image Fusion Airborne LiDAR Point-Clouds-Driven Machine Learning Modeling to Predict the Carbon Stock of Typical Subtropical Plantation in China
r^2,mlr,0.53,,landsat,"vi,bands","Nanning City, Guangxi Zhuang, China",Eucalyptus plantation forest,Eucalyptus plantation,2024,Satellite Image Fusion Airborne LiDAR Point-Clouds-Driven Machine Learning Modeling to Predict the Carbon Stock of Typical Subtropical Plantation in China
rmse,mlr,42.5,,landsat,"vi,bands","Nanning City, Guangxi Zhuang, China",Eucalyptus plantation forest,Eucalyptus plantation - m^3/hm^2,2024,Satellite Image Fusion Airborne LiDAR Point-Clouds-Driven Machine Learning Modeling to Predict the Carbon Stock of Typical Subtropical Plantation in China
mae,mlr,33.12,m3/hm2,landsat,"vi,bands","Nanning City, Guangxi Zhuang, China",Eucalyptus plantation forest,Eucalyptus plantation - m^3/hm^2,2024,Satellite Image Fusion Airborne LiDAR Point-Clouds-Driven Machine Learning Modeling to Predict the Carbon Stock of Typical Subtropical Plantation in China
r^2,mlr,0.69,mg/ha,"S1,S2,smrt","polar,bands,topo,climate,vi,soil,texture","Western Ghats, India",Tropical forests,Diverse forests,2024,"A comparative analysis of machine learning techniques for aboveground biomass estimation: A case study of the Western Ghats, India"
rmse,mlr,9.25,,"S1,S2,smrt","polar,bands,topo,climate,vi,soil,texture","Western Ghats, India",Tropical forests,Diverse forests - mg/ha,2024,"A comparative analysis of machine learning techniques for aboveground biomass estimation: A case study of the Western Ghats, India"
mae,mlr,7.28,,"S1,S2,smrt","polar,bands,topo,climate,vi,soil,texture","Western Ghats, India",Tropical forests,Diverse forests - mg/ha,2024,"A comparative analysis of machine learning techniques for aboveground biomass estimation: A case study of the Western Ghats, India"
r^2,mlr,0.61,,"icesat,modis,smrt","climate,vi,topo,canopy",china,mixed forests,all forests,2022,Estimation of National Forest Aboveground Biomass from Multi-Source Remotely Sensed Dataset with Machine Learning Algorithms in China
rmse,mlr,52.71,mg/ha,"icesat,modis,smrt","climate,vi,topo,canopy",china,mixed forests,all forests - mg/ha,2022,Estimation of National Forest Aboveground Biomass from Multi-Source Remotely Sensed Dataset with Machine Learning Algorithms in China
r^2,mlr,0.42,,"icesat,modis,smrt","climate,vi,topo,canopy",china,mixed forests,all forests,2022,Estimation of National Forest Aboveground Biomass from Multi-Source Remotely Sensed Dataset with Machine Learning Algorithms in China
rmse,mlr,77.78,mg/ha,"icesat,modis,smrt","climate,vi,topo,canopy",china,mixed forests,all forests - mg/ha,2022,Estimation of National Forest Aboveground Biomass from Multi-Source Remotely Sensed Dataset with Machine Learning Algorithms in China
r^2,mlr,0.3165,,landsat,"bands,vi,texture,climate","Yunnan, China",sub-humid subtropical evergreen broad-leaved forests,pine forests,2022,"Enhancing Aboveground Biomass Estimation for Three Pinus Forests in Yunnan, SW China, Using Landsat 8"
rmse,mlr,47.1631,mg/ha,landsat,"bands,vi,texture,climate","Yunnan, China",sub-humid subtropical evergreen broad-leaved forests,pine forests - mg/ha,2022,"Enhancing Aboveground Biomass Estimation for Three Pinus Forests in Yunnan, SW China, Using Landsat 9"
nrmse,mlr,0.4035,,landsat,"bands,vi,texture,climate","Yunnan, China",sub-humid subtropical evergreen broad-leaved forests,pine forests,2022,"Enhancing Aboveground Biomass Estimation for Three Pinus Forests in Yunnan, SW China, Using Landsat 10"
me,mlr,-3.0224,mg/ha,landsat,"bands,vi,texture,climate","Yunnan, China",sub-humid subtropical evergreen broad-leaved forests,pine forests - mg/ha,2022,"Enhancing Aboveground Biomass Estimation for Three Pinus Forests in Yunnan, SW China, Using Landsat 11"
relative me,mlr,3.2818,,landsat,"bands,vi,texture,climate","Yunnan, China",sub-humid subtropical evergreen broad-leaved forests,pine forests,2022,"Enhancing Aboveground Biomass Estimation for Three Pinus Forests in Yunnan, SW China, Using Landsat 12"
relative mare,mlr,39.8129,,landsat,"bands,vi,texture,climate","Yunnan, China",sub-humid subtropical evergreen broad-leaved forests,pine forests,2022,"Enhancing Aboveground Biomass Estimation for Three Pinus Forests in Yunnan, SW China, Using Landsat 13"
r^2,mlr,0.538,,radarsat,backscatter,"Uttarakhand, India",Mixed Deciduous Forest,,2022,Estimation of aboveground biomass from PolSAR and PolInSAR using regression-based modelling techniques
rmse,mlr,33.05,mg/ha,radarsat,backscatter,"Uttarakhand, India",Mixed Deciduous Forest,mg/ha,2022,Estimation of aboveground biomass from PolSAR and PolInSAR using regression-based modelling techniques
r^2,mlr,0.76,,spot,texture,"KwaZulu-Natal, South Africa",plantation forest,plantation,2019,Mapping forest aboveground biomass in the reforested Buffelsdraai landfill  site using texture combinations computed from SPOT-6 pan-sharpened  imagery
rmse,mlr,63.69,mg/ha,spot,texture,"KwaZulu-Natal, South Africa",plantation forest,plantation - kg/m^2,2019,Mapping forest aboveground biomass in the reforested Buffelsdraai landfill  site using texture combinations computed from SPOT-6 pan-sharpened  imagery
relative rmse,mlr,23.7,,spot,texture,"KwaZulu-Natal, South Africa",plantation forest,plantation,2019,Mapping forest aboveground biomass in the reforested Buffelsdraai landfill  site using texture combinations computed from SPOT-6 pan-sharpened  imagery
r^2,mlr,0.5489,,"worldview,gaofen,lidar","bands,vi,texture,canopy",Hengqin islands.,urban forests,urban forest,2021,Assessing of Urban Vegetation Biomass in Combination with LiDAR and High-resolution Remote Sensing Images
rmse,mlr,32.61,mg/ha,"worldview,gaofen,lidar","bands,vi,texture,canopy",Hengqin islands.,urban forests,urban forest - mg/ha,2021,Assessing of Urban Vegetation Biomass in Combination with LiDAR and High-resolution Remote Sensing Images
relative rmse,mlr,0.5341,,"worldview,gaofen,lidar","bands,vi,texture,canopy",Hengqin islands.,urban forests,urban forest,2021,Assessing of Urban Vegetation Biomass in Combination with LiDAR and High-resolution Remote Sensing Images
rmse,mlr,50.4,mg/ha,"S1,S2","bands,bpv,polar,vi","Hyrcanian forest, Iran",broad-leaved forests,mg/ha,2021,Multi-Sensor Aboveground Biomass Estimation in the Broadleaved Hyrcanian Forest of Iran
relative rmse,mlr,17,,"S1,S2","bands,bpv,polar,vi","Hyrcanian forest, Iran",broad-leaved forests,,2021,Multi-Sensor Aboveground Biomass Estimation in the Broadleaved Hyrcanian Forest of Iran
r^2,mlr,0.34,,"S1,S2","bands,bpv,polar,vi","Hyrcanian forest, Iran",broad-leaved forests,,2021,Multi-Sensor Aboveground Biomass Estimation in the Broadleaved Hyrcanian Forest of Iran
aic,mlr,80.4,,"S1,S2","bands,bpv,polar,vi","Hyrcanian forest, Iran",broad-leaved forests,,2021,Multi-Sensor Aboveground Biomass Estimation in the Broadleaved Hyrcanian Forest of Iran
r^2,mlr,0.18,,landsat,"bands,canopy,vi,texture","Hunan Province, China",mixed forests,mixed,2021,Effects of Forest Canopy Structure on Forest Aboveground Biomass Estimation Using Landsat Imagery
rmse,mlr,32.59,mg/ha,landsat,"bands,canopy,vi,texture","Hunan Province, China",mixed forests,mixed - mg/ha,2021,Effects of Forest Canopy Structure on Forest Aboveground Biomass Estimation Using Landsat Imagery
relative rmse,mlr,64.7,,landsat,"bands,canopy,vi,texture","Hunan Province, China",mixed forests,mixed,2021,Effects of Forest Canopy Structure on Forest Aboveground Biomass Estimation Using Landsat Imagery
r^2,mlr,0.71,,"landsat,alos,smrt","topo,texture,polar","Amazon, Brazil",tropical forests,tropical,2021,Quad-pol advanced land observing satellite/phased array L-band synthetic aperture radar-2 (ALOS/PALSAR-2) data for modelling secondary forest above-ground biomass in the central Brazilian amazon
rmse,mlr,10.8,t/ha,"landsat,alos,smrt","topo,texture,polar","Amazon, Brazil",tropical forests,tropical - t/ha,2021,Quad-pol advanced land observing satellite/phased array L-band synthetic aperture radar-2 (ALOS/PALSAR-2) data for modelling secondary forest above-ground biomass in the central Brazilian amazon
r^2,mlr,0.7,mg/ha,"landsat,alos","backscatter,bands,texture,vi","Beijing, China",urban forests,mixed forest,2020,Estimation of Forest Biomass in Beijing (China) Using Multisource Remote Sensing and Forest Inventory Data
rmse,mlr,14.54,,"landsat,alos","backscatter,bands,texture,vi","Beijing, China",urban forests,mixed forest - mg/ha,2020,Estimation of Forest Biomass in Beijing (China) Using Multisource Remote Sensing and Forest Inventory Data
relative rmse,mlr,27.92,mg/ha,"landsat,alos","backscatter,bands,texture,vi","Beijing, China",urban forests,mixed forest,2020,Estimation of Forest Biomass in Beijing (China) Using Multisource Remote Sensing and Forest Inventory Data
bias,mlr,0.9,,"landsat,alos","backscatter,bands,texture,vi","Beijing, China",urban forests,mixed forest - mg/ha,2020,Estimation of Forest Biomass in Beijing (China) Using Multisource Remote Sensing and Forest Inventory Data
relative bias,mlr,1.73,mg/ha,"landsat,alos","backscatter,bands,texture,vi","Beijing, China",urban forests,mixed forest,2020,Estimation of Forest Biomass in Beijing (China) Using Multisource Remote Sensing and Forest Inventory Data
r^2,mlr,0.28,,S1,"backscatter,texture","Kermanshah province, Iran",oak forests,sparse woodlands,2020,"Integration of synthetic aperture radar and multispectral data for aboveground biomass retrieval in Zagros oak forests, Iran: an attempt on Sentinel imagery"
relative rmse,mlr,48.72,,S1,"backscatter,texture","Kermanshah province, Iran",oak forests,sparse woodlands,2020,"Integration of synthetic aperture radar and multispectral data for aboveground biomass retrieval in Zagros oak forests, Iran: an attempt on Sentinel imagery"
relative mae,mlr,38.66,,S1,"backscatter,texture","Kermanshah province, Iran",oak forests,sparse woodlands,2020,"Integration of synthetic aperture radar and multispectral data for aboveground biomass retrieval in Zagros oak forests, Iran: an attempt on Sentinel imagery"
relative bias,mlr,-0.23,,S1,"backscatter,texture","Kermanshah province, Iran",oak forests,sparse woodlands,2020,"Integration of synthetic aperture radar and multispectral data for aboveground biomass retrieval in Zagros oak forests, Iran: an attempt on Sentinel imagery"
r^2,mlr,0.75,,S2,"bands,texture","Kermanshah province, Iran",oak forests,sparse woodlands,2020,"Integration of synthetic aperture radar and multispectral data for aboveground biomass retrieval in Zagros oak forests, Iran: an attempt on Sentinel imagery"
relative rmse,mlr,35.61,,S2,"bands,texture","Kermanshah province, Iran",oak forests,sparse woodlands,2020,"Integration of synthetic aperture radar and multispectral data for aboveground biomass retrieval in Zagros oak forests, Iran: an attempt on Sentinel imagery"
relative mae,mlr,26.72,,S2,"bands,texture","Kermanshah province, Iran",oak forests,sparse woodlands,2020,"Integration of synthetic aperture radar and multispectral data for aboveground biomass retrieval in Zagros oak forests, Iran: an attempt on Sentinel imagery"
relative bias,mlr,-0.14,,S2,"bands,texture","Kermanshah province, Iran",oak forests,sparse woodlands,2020,"Integration of synthetic aperture radar and multispectral data for aboveground biomass retrieval in Zagros oak forests, Iran: an attempt on Sentinel imagery"
r^2,mlr,0.28,,"alos,lidar","backscatter,bands,polar,texture,vi","Shast Kalateh forest, Iran",temperate deciduous forests,temperate deciduous forests,2020,"Integrating airborne laser scanning data, space-borne radar data and digital aerial imagery to estimate aboveground carbon stock in Hyrcanian forests, Iran"
rmse,mlr,25.94,mg/ha,"alos,lidar","backscatter,bands,polar,texture,vi","Shast Kalateh forest, Iran",temperate deciduous forests,temperate deciduous forests - mg/ha,2020,"Integrating airborne laser scanning data, space-borne radar data and digital aerial imagery to estimate aboveground carbon stock in Hyrcanian forests, Iran"
relative rmse,mlr,49.31,,"alos,lidar","backscatter,bands,polar,texture,vi","Shast Kalateh forest, Iran",temperate deciduous forests,temperate deciduous forests,2020,"Integrating airborne laser scanning data, space-borne radar data and digital aerial imagery to estimate aboveground carbon stock in Hyrcanian forests, Iran"
r^2,mlr,0.22,,"S1,landsat","backscatter,texture,bands,vi","Hunan Province, China",subtropical evergreen forests,subtropical evergreen,2020,forest aboveground biomass  estimation using Landsat 8 and  Sentinel-1A data with machine  learning algorithms
rmse,mlr,29.98,mg/ha,"S1,landsat","backscatter,texture,bands,vi","Hunan Province, China",subtropical evergreen forests,subtropical evergreen - mg/ha,2020,forest aboveground biomass  estimation using Landsat 8 and  Sentinel-1A data with machine  learning algorithms
relative rmse,mlr,60.63,,"S1,landsat","backscatter,texture,bands,vi","Hunan Province, China",subtropical evergreen forests,subtropical evergreen,2020,forest aboveground biomass  estimation using Landsat 8 and  Sentinel-1A data with machine  learning algorithms
r^2,mlr,0.834,,"landsat,lidar","bands,canopy,vi","Guangdong province, China",subtropical forests,subtropical forests,2019,Deep Learning Based Retrieval of Forest Aboveground Biomass from Combined LiDAR and Landsat 8 Data
rmse,mlr,21.593,mg/ha,"landsat,lidar","bands,canopy,vi","Guangdong province, China",subtropical forests,subtropical forests - mg/ha,2019,Deep Learning Based Retrieval of Forest Aboveground Biomass from Combined LiDAR and Landsat 8 Data
relative rmse,mlr,15.718,,"landsat,lidar","bands,canopy,vi","Guangdong province, China",subtropical forests,subtropical forests,2019,Deep Learning Based Retrieval of Forest Aboveground Biomass from Combined LiDAR and Landsat 8 Data
mae,mlr,8.81,mg/ha,landsat,"bands,texture,topo,vi","Northwest Yunnan, China",mountainous forests,mountainous forests - mg/ha,2019,Estimating aboveground biomass of Pinus densata-dominated forests using Landsat time series and permanent sample plot data
relative mae,mlr,20.85,,landsat,"bands,texture,topo,vi","Northwest Yunnan, China",mountainous forests,mountainous forests,2019,Estimating aboveground biomass of Pinus densata-dominated forests using Landsat time series and permanent sample plot data
mae,mlr,9.91,mg/ha,landsat,"bands,texture,topo,vi","Northwest Yunnan, China",mountainous forests,mountainous forests - mg/ha,2019,Estimating aboveground biomass of Pinus densata-dominated forests using Landsat time series and permanent sample plot data
relative mae,mlr,24.14,,landsat,"bands,texture,topo,vi","Northwest Yunnan, China",mountainous forests,mountainous forests,2019,Estimating aboveground biomass of Pinus densata-dominated forests using Landsat time series and permanent sample plot data
r^2,mlr,0.69,mg/ha,landsat,"bands,texture,topo,vi","Southeastern, Ecuador",montane forests,montane forests,2019,"Modeling tropical montane forest biomass, productivity and canopy traits with multispectral remote sensing data"
r^2,mlr,0.484,,S1,"backscatter,topo","Northwestern, Vietnam",mountainous tropical forests,mountainous tropical forests,2019,"Integrating Sentinel-1A SAR data and GIS to estimate aboveground biomass and carbon accumulation for tropical forest types in Thuan Chau district, Vietnam"
r^2,mlr,0.696,,landsat,"bands,vi,texture","Shangri-La City, China",cold temperate coniferous forests,cold temperate coniferous forests,2019,Improving Aboveground Biomass Estimation of Pinus densata Forests in Yunnan Using Landsat 8 Imagery by Incorporating Age Dummy Variable and Method Comparison
rmse,mlr,34.421,mg/ha,landsat,"bands,vi,texture","Shangri-La City, China",cold temperate coniferous forests,cold temperate coniferous forests - mg/ha,2019,Improving Aboveground Biomass Estimation of Pinus densata Forests in Yunnan Using Landsat 8 Imagery by Incorporating Age Dummy Variable and Method Comparison
rmse,mlr,25.35,mg/ha,icesat,canopy,"South-east Texas, USA",pine forests,mixed forest - mg/ha,2019,Estimating aboveground biomass and forest canopy cover with simulated  ICESat-2 data
r^2,mlr,0.63,,icesat,canopy,"South-east Texas, USA",pine forests,mixed forest,2019,Estimating aboveground biomass and forest canopy cover with simulated  ICESat-2 data
r^2,mlr,0.3,,landsat,"bands,texture,vi","Hunan Province, China",subtropical forests,mixed forest ,2019,Influence of Variable Selection and Forest Type on Forest Aboveground Biomass Estimation Using Machine Learning Algorithms
rmse,mlr,31.12,mg/ha,landsat,"bands,texture,vi","Hunan Province, China",subtropical forests,mixed forest - mg/ha,2019,Influence of Variable Selection and Forest Type on Forest Aboveground Biomass Estimation Using Machine Learning Algorithms
relative rmse,mlr,62.18,,landsat,"bands,texture,vi","Hunan Province, China",subtropical forests,mixed forest ,2019,Influence of Variable Selection and Forest Type on Forest Aboveground Biomass Estimation Using Machine Learning Algorithms
r,mlr,0.619,,landsat,"bands,texture,topo,vi","Hunan Province, China",coniferous forest,coniferous forest,2019,"Estimation of aboveground vegetation biomass based on Landsat-8 OLI satellite images in the Guanzhong Basin, China"
mse,mlr,11.39,t/ha,landsat,"bands,texture,topo,vi","Hunan Province, China",coniferous forest,coniferous forest - t/ha,2019,"Estimation of aboveground vegetation biomass based on Landsat-8 OLI satellite images in the Guanzhong Basin, China"
r,mlr,0.477,,landsat,"bands,texture,topo,vi","Hunan Province, China",broadleaf forest,broadleaf forest,2019,"Estimation of aboveground vegetation biomass based on Landsat-8 OLI satellite images in the Guanzhong Basin, China"
mse,mlr,11.78,t/ha,landsat,"bands,texture,topo,vi","Hunan Province, China",broadleaf forest,broadleaf forest - t/ha,2019,"Estimation of aboveground vegetation biomass based on Landsat-8 OLI satellite images in the Guanzhong Basin, China"
rmse,mlr,41.81,t/ha,rapideye,"bands,texture,vi",Tanzania,coastal forests,mixed forests - t/ha,2019,The Potential of High Resolution (5 m) RapidEye Optical Data to Estimate Above Ground Biomass at the National Level over Tanzania
mae,mlr,35.07,t/ha,rapideye,"bands,texture,vi",Tanzania,coastal forests,mixed forests - t/ha,2019,The Potential of High Resolution (5 m) RapidEye Optical Data to Estimate Above Ground Biomass at the National Level over Tanzania
r^2,mlr,0.39,,rapideye,"bands,texture,vi",Tanzania,coastal forests,mixed forests,2019,The Potential of High Resolution (5 m) RapidEye Optical Data to Estimate Above Ground Biomass at the National Level over Tanzania
relative rmse,mlr,20,,rapideye,"bands,texture,vi",Tanzania,coastal forests,mixed forests,2019,The Potential of High Resolution (5 m) RapidEye Optical Data to Estimate Above Ground Biomass at the National Level over Tanzania
r^2,mlr,0.427,,"alos,landsat",backscatter,Southeast aisian coasts,mangrove forests,mangroves,2019,Development of aboveground mangrove forests’ biomass dataset for Southeast Asia based on ALOSPALSAR 25-m mosaic
rmse,mlr,61.32,mg/ha,"alos,landsat",backscatter,Southeast aisian coasts,mangrove forests,mangroves - mg/ha,2019,Development of aboveground mangrove forests’ biomass dataset for Southeast Asia based on ALOSPALSAR 25-m mosaic
relative mape,mlr,16.5,,landsat,"bands,texture,topo,vi","Shandong Province, China",Broad leaf forest,Broad leaf forest,2018,Forest Above Ground Biomass Estimation from Remotely Sensed Imagery in the Mount Tai Area Using the RBF ANN Algorithm
r^2,mlr,0.905,,landsat,"bands,texture,topo,vi","Shandong Province, China",Broad leaf forest,Broad leaf forest,2018,Forest Above Ground Biomass Estimation from Remotely Sensed Imagery in the Mount Tai Area Using the RBF ANN Algorithm
rmse,mlr,19.77,t/ha,landsat,"bands,texture,topo,vi","Shandong Province, China",Broad leaf forest,Broad leaf forest - t/ha,2018,Forest Above Ground Biomass Estimation from Remotely Sensed Imagery in the Mount Tai Area Using the RBF ANN Algorithm
r^2,mlr,0.44,,"landsat,smrt,tandem-x","backscatter,bands,bpv,canopy,vi","Quebec City, Canada",Boreal forests,Boreal forests,2018,Mapping boreal forest biomass from a SRTM and TanDEM-X based on  canopy height model and Landsat spectral indices
rmse,mlr,31,mg/ha,"landsat,smrt,tandem-x","backscatter,bands,bpv,canopy,vi","Quebec City, Canada",Boreal forests,Boreal forests - mg/ha,2018,Mapping boreal forest biomass from a SRTM and TanDEM-X based on  canopy height model and Landsat spectral indices
relative rmse,mlr,40,,"landsat,smrt,tandem-x","backscatter,bands,bpv,canopy,vi","Quebec City, Canada",Boreal forests,Boreal forests,2018,Mapping boreal forest biomass from a SRTM and TanDEM-X based on  canopy height model and Landsat spectral indices
r^2,mlr,0.77,,landsat,"bands,vi","Chongli, Zhangjiakou City, Hebei Province, China",plantation forest,birch forest,2025,Estimation of Forest Aboveground Biomass in North China Based on Landsat Data and Stand Features
mse,mlr,15.05,mg/ha,landsat,"bands,vi","Chongli, Zhangjiakou City, Hebei Province, China",plantation forest,birch forest,2025,Estimation of Forest Aboveground Biomass in North China Based on Landsat Data and Stand Features
r^2,mlr,0.75,,landsat,"bands,vi","Chongli, Zhangjiakou City, Hebei Province, China",plantation forest,larch forest,2025,Estimation of Forest Aboveground Biomass in North China Based on Landsat Data and Stand Features
mse,mlr,67.17,mg/ha,landsat,"bands,vi","Chongli, Zhangjiakou City, Hebei Province, China",plantation forest,larch forest,2025,Estimation of Forest Aboveground Biomass in North China Based on Landsat Data and Stand Features
r^2,mlr,0.69,,"alos,S1,saocom,terrasar-x,S2","backscatter,polar,bands","Black Sea area, Northern Türkiye",mixed forest,Uludag fir and oriental beech,2025,Forest Aboveground Biomass Estimation in Küre Mountains National Park Using Multifrequency SAR and Multispectral Optical Data with Machine-Learning Regression Models
rmse,mlr,33.37,t/ha,"alos,S1,saocom,terrasar-x,S2","backscatter,polar,bands","Black Sea area, Northern Türkiye",mixed forest,Uludag fir and oriental beech,2025,Forest Aboveground Biomass Estimation in Küre Mountains National Park Using Multifrequency SAR and Multispectral Optical Data with Machine-Learning Regression Models
mae,mlr,39.43,t/ha,"alos,S1,saocom,terrasar-x,S2","backscatter,polar,bands","Black Sea area, Northern Türkiye",mixed forest,Uludag fir and oriental beech,2025,Forest Aboveground Biomass Estimation in Küre Mountains National Park Using Multifrequency SAR and Multispectral Optical Data with Machine-Learning Regression Models
rmse,mlr,14,kg/m2,"S2,landsat","bands,bpv,texture,topo,vi","Anhui Province, China",urban forests,,2024,Aboveground Biomass Inversion Based on Object-Oriented Classification and Pearson–mRMR–Machine Learning Model
mae,mlr,7,kg/m2,"S2,landsat","bands,bpv,texture,topo,vi","Anhui Province, China",urban forests,,2024,Aboveground Biomass Inversion Based on Object-Oriented Classification and Pearson–mRMR–Machine Learning Model
r^2,mlr,0.68,,"S2,landsat","bands,bpv,texture,topo,vi","Anhui Province, China",urban forests,,2024,Aboveground Biomass Inversion Based on Object-Oriented Classification and Pearson–mRMR–Machine Learning Model
r^2,mlr,0.23,,"landsat,smrt","bands,bpv,topo,vi","Hindu Kush Himalayan, Pakistan",temperate coniferous forests,,2024,Integration of machine learning and remote sensing for above ground biomass estimation through Landsat-9 and field data in temperate forests of the Himalayan region
relative mae,mlr,36.7,,"landsat,smrt","bands,bpv,topo,vi","Hindu Kush Himalayan, Pakistan",temperate coniferous forests,,2024,Integration of machine learning and remote sensing for above ground biomass estimation through Landsat-9 and field data in temperate forests of the Himalayan region
relative rmse,mlr,42.89,,"landsat,smrt","bands,bpv,topo,vi","Hindu Kush Himalayan, Pakistan",temperate coniferous forests,,2024,Integration of machine learning and remote sensing for above ground biomass estimation through Landsat-9 and field data in temperate forests of the Himalayan region
mae,mlr,30.06,mg/ha,"landsat,smrt","bands,bpv,topo,vi","Hindu Kush Himalayan, Pakistan",temperate coniferous forests,,2024,Integration of machine learning and remote sensing for above ground biomass estimation through Landsat-9 and field data in temperate forests of the Himalayan region
rrmse,mlr,35.95,mg/ha,"landsat,smrt","bands,bpv,topo,vi","Hindu Kush Himalayan, Pakistan",temperate coniferous forests,,2024,Integration of machine learning and remote sensing for above ground biomass estimation through Landsat-9 and field data in temperate forests of the Himalayan region
r^2,mlr,0.72,,"gf3,alos","backscatter,polar","Hebei province, China",plantation forests,,2023,Improving the Potential of Coniferous Forest Aboveground Biomass Estimation by Integrating C- and L-Band SAR Data with Feature Selection and Non-Parametric Model
rmse,mlr,20.53,t/ha,"gf3,alos","backscatter,polar","Hebei province, China",plantation forests,,2023,Improving the Potential of Coniferous Forest Aboveground Biomass Estimation by Integrating C- and L-Band SAR Data with Feature Selection and Non-Parametric Model
mae,mlr,15.26,t/ha,"gf3,alos","backscatter,polar","Hebei province, China",plantation forests,,2023,Improving the Potential of Coniferous Forest Aboveground Biomass Estimation by Integrating C- and L-Band SAR Data with Feature Selection and Non-Parametric Model
r^2,mlr,0.46,,"S1,landsat","backscatter,bands,polar,texture,vi","Jiangxi Province, China",subtropical forests,,2023,Aboveground Forest Biomass Estimation Using Tent Mapping Atom Search Optimized Backpropagation Neural Network with Landsat 8 and Sentinel-1A Data
rmse,mlr,25.53,mg/ha,"S1,landsat","backscatter,bands,polar,texture,vi","Jiangxi Province, China",subtropical forests,,2023,Aboveground Forest Biomass Estimation Using Tent Mapping Atom Search Optimized Backpropagation Neural Network with Landsat 8 and Sentinel-1A Data
mae,mlr,23.43,mg/ha,"S1,landsat","backscatter,bands,polar,texture,vi","Jiangxi Province, China",subtropical forests,,2023,Aboveground Forest Biomass Estimation Using Tent Mapping Atom Search Optimized Backpropagation Neural Network with Landsat 8 and Sentinel-1A Data
r^2,mlr,0.87,,alos,"backscatter,topo","Hebei Province, China",Temperate forests,,2022,The Potential of Fully Polarized ALOS-2 Data for Estimating Forest Above-Ground Biomass
rmse,mlr,17.42,t/ha,alos,"backscatter,topo","Hebei Province, China",Temperate forests,,2022,The Potential of Fully Polarized ALOS-2 Data for Estimating Forest Above-Ground Biomass
me,mlr,-0.12,t/ha,alos,"backscatter,topo","Hebei Province, China",Temperate forests,,2022,The Potential of Fully Polarized ALOS-2 Data for Estimating Forest Above-Ground Biomass
mae,mlr,14.82,t/ha,alos,"backscatter,topo","Hebei Province, China",Temperate forests,,2022,The Potential of Fully Polarized ALOS-2 Data for Estimating Forest Above-Ground Biomass
mare,mlr,27.35,,alos,"backscatter,topo","Hebei Province, China",Temperate forests,,2022,The Potential of Fully Polarized ALOS-2 Data for Estimating Forest Above-Ground Biomass
mre,mlr,15.25,,alos,"backscatter,topo","Hebei Province, China",Temperate forests,,2022,The Potential of Fully Polarized ALOS-2 Data for Estimating Forest Above-Ground Biomass
r^2,mlr,0.756,,"S1,S2","backscatter,bands,vi","Khyber Pakhtunkhwa, Pakistan",plantation,,2025,Estimating Aboveground Biomass and Carbon Sequestration in Afforestation Areas Using Optical/SAR Data Fusion and Machine Learning
relative rmse,mlr,13.18,,"S1,S2","backscatter,bands,vi","Khyber Pakhtunkhwa, Pakistan",plantation,,2025,Estimating Aboveground Biomass and Carbon Sequestration in Afforestation Areas Using Optical/SAR Data Fusion and Machine Learning
r^2,mlr,0.702,,landsat,"bands,texture,topo,vi","Central, Vietnam",evergreen broadleaf forests,,2024,Evaluation of statistical and machine learning models using satellite data to estimate aboveground biomass: A study in Vietnam Tropical Forests
mae,mlr,83,mg/ha,landsat,"bands,texture,topo,vi","Central, Vietnam",evergreen broadleaf forests,,2024,Evaluation of statistical and machine learning models using satellite data to estimate aboveground biomass: A study in Vietnam Tropical Forests
relative rmse,mlr,14.66,,landsat,"bands,texture,topo,vi","Central, Vietnam",evergreen broadleaf forests,,2024,Evaluation of statistical and machine learning models using satellite data to estimate aboveground biomass: A study in Vietnam Tropical Forests
r^2,mlr,0.23,,"landsat,smrt","bands,texture,vi","Yunnan Province, China",broad leaved forests,,2024,Remote Sensing Estimation of Forest Carbon Stock Based on Machine Learning Algorithms
r^2,mlr,0.28,,"landsat,smrt","bands,texture,vi","Yunnan Province, China",coniferous forests,,2024,Remote Sensing Estimation of Forest Carbon Stock Based on Machine Learning Algorithms
rmse,mlr,49.04,mg/ha,alos,"backscatter,polar","Uttarakhand, India",evergreen forests,,2024,Forest Aboveground Biomass and Forest Height Estimation Over a Sub‐tropical Forest Using Machine Learning Algorithm and Synthetic Aperture Radar Data
mae,mlr,39.139,mg/ha,alos,"backscatter,polar","Uttarakhand, India",evergreen forests,,2024,Forest Aboveground Biomass and Forest Height Estimation Over a Sub‐tropical Forest Using Machine Learning Algorithm and Synthetic Aperture Radar Data
r^2,mlr,0.6,,alos,"backscatter,polar","Uttarakhand, India",evergreen forests,,2024,Forest Aboveground Biomass and Forest Height Estimation Over a Sub‐tropical Forest Using Machine Learning Algorithm and Synthetic Aperture Radar Data
